 station cast   lat    long    jday   mo/da/yr   gmt
 121      1   24.404 -80.616   290    10/17/21  1824 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
  323   14.217   14.170   35.841    0.903    320.685   128.525
  324   14.050   14.003   35.815    0.905    321.678   128.426
  325   13.844   13.796   35.781    0.906    322.670   128.383
  326   13.467   13.421   35.719    0.907    323.662   128.363
  327   13.252   13.206   35.685    0.908    324.654   127.576
  328   13.036   12.991   35.650    0.910    325.646   126.868
  329   12.821   12.776   35.615    0.911    326.638   126.796
  330   12.751   12.706   35.606    0.912    327.630   126.889
  331   12.742   12.697   35.605    0.913    328.622   126.575
  332   12.727   12.681   35.604    0.915    329.614   126.291
  333   12.711   12.666   35.603    0.916    330.606   126.100
  334   12.696   12.650   35.602    0.917    331.598   125.892
  335   12.693   12.647   35.603    0.918    332.590   125.790
  336   12.689   12.643   35.603    0.919    333.582   125.748
  337   12.656   12.610   35.598    0.921    334.574   125.745
  338   12.643   12.597   35.596    0.922    335.566   125.717
  339   12.636   12.589   35.596    0.923    336.558   125.724
  340   12.648   12.602   35.598    0.924    337.550   125.673
  341   12.619   12.572   35.594    0.925    338.542   125.678
  342   12.618   12.572   35.594    0.927    339.534   125.597
  343   12.618   12.571   35.594    0.928    340.526   125.536
  344   12.618   12.571   35.595    0.929    341.518   125.498
  345   12.591   12.544   35.590    0.930    342.510   125.599
  346   12.576   12.529   35.587    0.932    343.502   125.611
  347   12.557   12.510   35.584    0.933    344.494   125.609
  348   12.544   12.497   35.582    0.934    345.485   125.533
  349   12.535   12.487   35.581    0.935    346.477   125.346
  350   12.547   12.499   35.583    0.936    347.469   125.312
  351   12.550   12.502   35.583    0.938    348.461   125.376
  352   12.554   12.506   35.584    0.939    349.453   125.450
  353   12.557   12.509   35.585    0.940    350.445   125.452
  354   12.561   12.513   35.585    0.941    351.437   125.457
  355   12.564   12.516   35.586    0.942    352.429   125.442
  356   12.564   12.515   35.585    0.944    353.421   125.338
  357   12.544   12.496   35.581    0.945    354.413   125.294
  358   12.549   12.501   35.582    0.946    355.405   125.285
  359   12.472   12.423   35.570    0.947    356.397   125.225
  360   12.472   12.423   35.570    0.948    357.388   125.194
  361   12.472   12.423   35.570    0.950    358.380   125.240
  362   12.472   12.423   35.570    0.951    359.372   125.135
